,Unnamed: 0,title,Unnamed: 2,riding area,rating,distance,descent,climb,popularity_score
62,,golden stairway tr  354,,Pipestone Canyon,,6 miles,"-3,021 ft",611 ft,5
63,,blue buck trail  421,,Pipestone Canyon,,10 miles,"-3,043 ft",44 ft,5
64,,singletrack   unknown name   sugarloaf mt,,Walla Walla,,3 miles,"-1,948 ft",41 ft,5
65,,no name,,Coal Trax Mountain Bike Park,,344 ft,-18 ft,,5
66,,odessa lake creek trail,,Central Moses Lake,,13 miles,-853 ft,884 ft,5
67,,valleycat,,Teanaway,,"2,999 ft",-520 ft,,5
68,,thorp lake trail,,Kachess Ridge,,862 ft,,349 ft,5
69,,reef tavern to lighthouse park,,Point Roberts,,1 mile,,5 ft,5
70,,valley trail 270,,Dark Divide,,12 miles,"-1,696 ft",444 ft,5
71,,rough trail 283,,Dark Divide,,2 miles,,"1,743 ft",5
72,,why bother,,WSU Vancouver,,318 ft,,3 ft,5
73,,unfinished,,WSU Vancouver,,335 ft,-6 ft,,5
74,,got moto,,Taneum Canyon,,1 mile,-160 ft,182 ft,5
75,,gruntwoo,,Naneum Ridge State Forest,,"4,800 ft",-410 ft,,5
76,,bitterroot trail wild horse,,Wild Horse Wind Facility,,"2,536 ft",-173 ft,,5
77,,upper whiskey jim creek,,Wild Horse Wind Facility,,"4,236 ft",-169 ft,,5
78,,into the pines,,Wild Horse Wind Facility,,"3,848 ft",-78 ft,,5
79,,raven s roost  945,,Little Naches,,6 miles,"-2,959 ft",372 ft,5
80,,ferry county rail trail curlew lake to town of curlew,,Ferry County Rail Trail,,2 miles,-76 ft,,5
81,,mount mastiff,,Nason Ridge,,2 miles,-266 ft,"1,638 ft",5
82,,king of the mountain event,,Colville Mountain,,,,,5
83,,cat track,,Spokane,,1 mile,-701 ft,,5
84,,historic stevenson ridge trail  146,,Stevenson,,1 mile,,285 ft,5
85,,frailey mountain from lk  cavanagh road,,Arlington,,1 mile,-727 ft,,5
86,,us forest service trail 689 2,,Mt. Baker-Snoqualmie National Forest,,1 mile,-276 ft,,5
87,,east fork trail  139,,Silver Star Scenic Area,,4 miles,-110 ft,"2,072 ft",5
88,,rainbow lake trail,,Sun Lakes - Dry Falls State Park,,"1,132 ft",,,5
89,,tommy trail,,Tahuya State Forest,,1 mile,-98 ft,11 ft,5
90,,forest park trail,,Forest Park,,213 ft,-5 ft,,5
91,,forest park trail,,Forest Park,,187 ft,-6 ft,,5
92,,forest park trail,,Forest Park,,144 ft,,8 ft,5
93,,forest park trail,,Forest Park,,131 ft,,,5
94,,forest park trail,,Forest Park,,115 ft,,,5
95,,forest park trail,,Forest Park,,121 ft,,,5
96,,forest park trail,,Forest Park,,105 ft,,,5
97,,juniper dunes,,Juniper Dunes OHV Area,,10 miles,-299 ft,309 ft,5
98,,dead end,,Teanaway Community Forest,,"1,296 ft",-21 ft,3 ft,5
99,,unknown trail,,Teanaway Community Forest,,"2,595 ft",-13 ft,119 ft,5
0,,climber s trail,,Pasco,,774 ft,,139 ft,5
1,,schnebly springs,,Wild Horse Wind Facility,,1 mile,-99 ft,121 ft,5
2,,bear creek 943,,Naches,,7 miles,"-2,420 ft",301 ft,5
3,,trail,,Foothills,,"4,629 ft",-320 ft,244 ft,5
4,,monument 83 summit trail,,Pasayten Wilderness Area,,"4,820 ft",,522 ft,5
5,,falls creek trail,,Okanogan County,,9 miles,"-3,748 ft",,5
6,,double track,,Ancient Lakes,,4 miles,-32 ft,337 ft,5
7,,trail,,Ancient Lakes,,732 ft,-37 ft,,5
8,,camp to hill,,Boxley Creek,,"5,177 ft",-8 ft,429 ft,5
9,,pendleton cutoff to whiskey dick mountain,,Wild Horse Wind Facility,,"2,520 ft",,351 ft,5
10,,scout  trail,,Green River Community College,,"1,053 ft",-24 ft,98 ft,5
11,,unknown trail,,Pipestone Canyon,,"5,059 ft",-197 ft,86 ft,5
12,,yahoo lake,,Forks,,"3,432 ft",-96 ft,117 ft,5
13,,4w306 manastash ridge,,Naches,,8 miles,"-1,421 ft","1,191 ft",5
14,,4w308 shoestring,,Naches,,4 miles,-183 ft,"1,064 ft",5
15,,string 4w309,,Little Naches,,2 miles,-626 ft,63 ft,5
16,,tipover 4w330,,Little Naches,,2 miles,-736 ft,258 ft,5
17,,neighborhood path,,Edmonds,,325 ft,-3 ft,,5
18,,trail,,Edmonds,,"1,900 ft",-3 ft,16 ft,5
19,,frost mountain trail,,Taneum Canyon,,3 miles,-387 ft,"1,672 ft",5
20,,elk trap springs trail 1319,,Table Mountain,,1 mile,,536 ft,5
21,,connection,,Reade Hill,,135 ft,-5 ft,,5
22,,gray rock trail,,Naches,,12 miles,"-3,220 ft","1,691 ft",5
23,,meadow creek  3123,,Dayton,,6 miles,"-2,472 ft",313 ft,5
24,,meadow creek spur  3292,,Dayton,,"4,652 ft",-40 ft,304 ft,5
25,,olympic terrace connector,,Port Ludlow Timberton Trails,,138 ft,,,5
26,,koppen mountain trail,,Teanaway,,5 miles,-763 ft,"1,076 ft",5
27,,connector,,Sequim,,"2,500 ft",-317 ft,30 ft,5
28,,mine to market rd 4w305   camp creek mine trail,,Salmon La Sac,,2 miles,"-1,397 ft",248 ft,5
29,,trail unknown,,Teanaway Community Forest,,2 miles,-253 ft,339 ft,5
30,,side trail,,410 / Mount Rainier North,,"1,070 ft",-4 ft,7 ft,5
31,,trail,,Kanaskat-Palmer State Park,,"1,877 ft",-17 ft,,5
32,,trail,,Kanaskat-Palmer State Park,,371 ft,-6 ft,,5
33,,trail,,Kanaskat-Palmer State Park,,417 ft,,17 ft,5
34,,trail,,Kanaskat-Palmer State Park,,"1,175 ft",,11 ft,5
35,,robinson gulch  1357,,Table Mountain,,"2,234 ft",-285 ft,,5
36,,meadow connector,,Yacolt Burn State Forest,,,,,5
37,,meadow,,Yacolt Burn State Forest,,,,,5
38,,top top,,Yacolt Burn State Forest,,,,,5
39,,ewok hideout,,Silver Firs Trails,,679 ft,-35 ft,,5
40,,snyder pasture 80a,,Randle,,6 miles,"-3,319 ft",603 ft,5
41,,summit trail,,Yacolt Burn State Forest,,,,,5
42,,mouse lake 271c,,Dark Divide,,"2,244 ft",-61 ft,,5
43,,trail,,Arlington,,2 miles,"-1,027 ft",3 ft,5
44,,the cut,,Rendezvous Basin,,"3,628 ft",-286 ft,435 ft,5
45,,tiffany lake trail  373,,Conconully,,7 miles,"-2,575 ft",750 ft,5
46,,honeymoon pass trail  372,,Conconully,,2 miles,"-1,134 ft",,5
47,,north summit  369,,Conconully,,2 miles,-277 ft,606 ft,5
48,,angel pass trail  344,,Conconully,,2 miles,-99 ft,813 ft,5
49,,mutton ridge trail  365,,Conconully,,1 mile,-610 ft,,5
50,,blue lake trail,,Conconully,,2 miles,-279 ft,284 ft,5
51,,425 pack trail,,Twisp,,2 miles,"-1,392 ft",,5
52,,boundary trail 1,,Dark Divide,,25 miles,"-4,438 ft","5,193 ft",5
53,,environmental train b line  2,,Carkeek Park Trails,,69 ft,,,5
54,,wtft,,Carkeek Park Trails,,10 ft,,,5
55,,sherlock peak trail  139,,Metaline Falls,,3 miles,,"1,589 ft",5
56,,jurassic park  1145,,Carbonado,,3 miles,-392 ft,"1,207 ft",5
57,,1148  1148,,Carbonado,,1 mile,,643 ft,5
58,,pacific northwest trail,,Pasayten Wilderness Area,,2 miles,-274 ft,226 ft,5
59,,tatoosh buttes trail,,Pasayten Wilderness Area,,1 mile,-33 ft,61 ft,5
60,,ptarmigan ridge trail,,Pasayten Wilderness Area,,6 miles,"-2,633 ft",23 ft,5
61,,joggers loop connector,,Lake Sammamish State Park,,167 ft,,,5
62,,etter west p,,Antoine Peak Conservation Area,,1 mile,-469 ft,11 ft,5
63,,gene s trail  59,,Green River Community College,,"1,982 ft",-288 ft,,5
64,,north field perimeter,,WSU Vancouver,,"1,965 ft",-13 ft,53 ft,5
65,,swampy creek,,WSU Vancouver,,308 ft,,3 ft,5
66,,across the field,,Whipple Creek Park,,"1,276 ft",,,5
67,,barbwire marsh,,Whipple Creek Park,,"1,335 ft",-63 ft,6 ft,5
68,,ten mile  25,,Republic,,2 miles,-44 ft,"1,244 ft",5
69,,thirteenmile  23,,Republic,,7 miles,"-1,675 ft","1,840 ft",5
70,,thirteenmile  23,,Republic,,4 miles,-394 ft,"1,195 ft",5
71,,thirteenmile  23,,Republic,,4 miles,-208 ft,"1,882 ft",5
72,,south side  308,,Mt Bonaparte,,4 miles,-104 ft,"1,252 ft",5
73,,4th of july ridge  304,,Mt Bonaparte,,6 miles,-713 ft,"1,486 ft",5
74,,cabin trail  303,,Mt Bonaparte,,3 miles,-622 ft,412 ft,5
75,,antoine trail  304,,Mt Bonaparte,,4 miles,-29 ft,"2,511 ft",5
76,,similkameen trail,,Oroville,,4 miles,-198 ft,72 ft,5
77,,haley mountain,,Oroville,,2 miles,-34 ft,428 ft,5
78,,pnt trail,,Anderson Mountain,,3 miles,"-2,073 ft",41 ft,5
79,,meadow maker,,Teanaway Community Forest,,"3,596 ft",-150 ft,32 ft,5
80,,indian camp   jeep road connector,,Teanaway Community Forest,,"2,795 ft",-27 ft,162 ft,5
81,,maintenance access,,Sadie Creek,,348 ft,,23 ft,5
82,,drag race,,Dockton Forest,,"1,178 ft",-95 ft,,5
83,,six ridge primitive trail,,Olympic National Park,,10 miles,"-2,605 ft","4,951 ft",5
84,,wynoochee pass trail,,Olympic National Park,,4 miles,"-1,309 ft","1,183 ft",5
85,,rustler creek route,,Wynoochee Lake,,3 miles,-8 ft,687 ft,5
86,,sundown lake trail,,Olympic National Park,,1 mile,-11 ft,"1,109 ft",5
87,,clearwater trail,,Clearwater Wilderness,,9 miles,"-2,759 ft","3,852 ft",5
88,,kalama trail,,Mt. St. Helens National Volcanic Monument,,4 miles,-929 ft,223 ft,5
89,,4x4 trail,,Sadie Creek,,"4,547 ft",-9 ft,26 ft,5
90,,4x4 trail,,Sadie Creek,,"4,547 ft",-390 ft,409 ft,5
91,,4x4 trail,,Sadie Creek,,"4,547 ft",-3 ft,20 ft,5
92,,4x4 trail,,Sadie Creek,,"4,547 ft",,194 ft,5
93,,4x4 trail,,Sadie Creek,,"4,547 ft",-94 ft,,5
94,,4x4 trail,,Sadie Creek,,"4,547 ft",-83 ft,11 ft,5
95,,4x4 trail,,Sadie Creek,,"4,547 ft",-20 ft,,5
96,,4x4 trail,,Sadie Creek,,"4,547 ft",-27 ft,6 ft,5
97,,4x4 trail,,Sadie Creek,,"4,547 ft",,,5
98,,4x4 trail,,Sadie Creek,,"4,547 ft",-11 ft,,5
99,,4x4 back door,,Sadie Creek,,"4,547 ft",-21 ft,,5
0,,obstacle course,,Sadie Creek,,"4,547 ft",-74 ft,43 ft,5
1,,sugarloaf trail,,Siouxon Area,,"4,124 ft",-250 ft,121 ft,5
2,,mt  mitchell trail,,Siouxon Area,,4 miles,-4 ft,"1,396 ft",5
3,,speed trail,,Lewis River,,"4,711 ft",-635 ft,,5
4,,redcedar trail,,Salmon-Morgan Creeks Natural Area,,"1,424 ft",-23 ft,,5
5,,connector,,Salmon-Morgan Creeks Natural Area,,167 ft,,,5
6,,county line trail,,Alpine Lakes Wilderness,,3 miles,-706 ft,778 ft,5
7,,cougar ridge trail   wa,,Mad River - Entiat,,5 miles,-254 ft,"1,008 ft",5
8,,naches trail  west   1175,,410 / Mount Rainier North,,5 miles,-77 ft,"2,310 ft",5
9,,summit trail wilderness  1259,,Angels Staircase / Uno Peak,,4 miles,"-1,054 ft","1,018 ft",5
10,,north fork twentymile trail  560,,Conconully,,9 miles,-940 ft,"4,439 ft",5
11,,smarty creek trail  371,,Conconully,,8 miles,"-1,455 ft","1,406 ft",5
12,,standup creek trail  1369,,Teanaway,,5 miles,"-1,113 ft","2,858 ft",5
13,,south esmeralda peak trail  1392 2,,Teanaway,,2 miles,"-1,434 ft",176 ft,5
14,,dune forest loop,,Leadbetter Point State Park,,3 miles,-52 ft,31 ft,5
15,,russell ridge  1111,,Naches,,8 miles,"-2,233 ft","1,623 ft",5
16,,the knob,,Wallula Scablands,,"1,309 ft",,62 ft,5
17,,high side,,Wallula Scablands,,"3,743 ft",-75 ft,40 ft,5
18,,divide ridge  1127,,Naches,,2 miles,-196 ft,"1,163 ft",5
19,,long lake trail  1145,,Naches,,1 mile,,515 ft,5
20,,river view trail  162,,Packwood,,1 mile,-154 ft,144 ft,5
21,,rock and roll,,Wallula Scablands,,"2,215 ft",-145 ft,28 ft,5
22,,grandview mesa,,Wallula Scablands,,"4,734 ft",-157 ft,174 ft,5
23,,sideways,,Wallula Scablands,,"3,622 ft",-17 ft,199 ft,5
24,,midway,,Wallula Scablands,,"3,671 ft",-224 ft,66 ft,5
25,,grandview shortcut,,Wallula Scablands,,"1,191 ft",-15 ft,29 ft,5
26,,purcell lookout  285,,Ashford,,3 miles,-120 ft,"2,135 ft",5
27,,half pipe,,Wallula Scablands,,"3,747 ft",-88 ft,143 ft,5
28,,low side,,Kennewick,,"1,785 ft",-52 ft,10 ft,5
29,,pine way trail  71,,Gotchen Creek,,3 miles,-632 ft,109 ft,5
30,,goat mountain  217,,Goat Mountain,,9 miles,"-2,395 ft","1,581 ft",5
31,,green river trail  213,,Mt. St. Helens National Volcanic Monument,,9 miles,-255 ft,"1,425 ft",5
32,,french butte trail  254,,Dark Divide,,1 mile,-72 ft,719 ft,5
33,,tumwater peak trail  218,,Goat Mountain,,9 miles,"-3,215 ft","1,328 ft",5
34,,knife edge,,Wallula Scablands,,"1,808 ft",-19 ft,30 ft,5
35,,millenial,,Wallula Scablands,,"1,194 ft",-83 ft,,5
36,,lumps,,Wallula Scablands,,"1,017 ft",-25 ft,58 ft,5
37,,columbian way link,,Cheasty Trails & Bike Park,,272 ft,-27 ft,,5
38,,french creek trail 5c,,Dark Divide,,3 miles,-66 ft,829 ft,5
39,,high bridge trail  293,,Dark Divide,,2 miles,-902 ft,,5
40,,wright meadow trail  80,,Dark Divide,,9 miles,"-2,656 ft","1,612 ft",5
41,,kalama falls trail,,Merrill Lake,,3 miles,-689 ft,8 ft,5
42,,cougar creek woods trail,,Vancouver,,453 ft,,41 ft,5
43,,seaquest  2,,Seaquest State Park,,"2,503 ft",-18 ft,14 ft,5
44,,seaquest  8,,Seaquest State Park,,663 ft,-3 ft,10 ft,5
45,,seaquest  4a,,Seaquest State Park,,390 ft,,6 ft,5
46,,seaquest  9,,Seaquest State Park,,"2,428 ft",-73 ft,,5
47,,japanese garden,,Lake Sacajawea Park,,551 ft,-8 ft,,5
48,,hemlock bridge,,Lake Sacajawea Park,,230 ft,,,5
49,,hemlock alternate,,Lake Sacajawea Park,,"1,135 ft",,5 ft,5
50,,cowlitz river trail,,Kelso,,2 miles,-8 ft,3 ft,5
51,,lake sacajawea pathway,,Lake Sacajawea Park,,4 miles,-58 ft,57 ft,5
52,,mt  solo trail,,Longview,,"4,462 ft",-2 ft,8 ft,5
53,,frog mountain  1180,,Clearwater Wilderness,,3 miles,-725 ft,430 ft,5
54,,carbon trail  1179,,Clearwater Wilderness,,9 miles,"-2,781 ft","2,115 ft",5
55,,vantage   columbia river trail,,Vantage,,2 miles,-23 ft,165 ft,5
56,,hoffman hill trail hh,,Dupont,,1 mile,-133 ft,192 ft,5
57,,brown loop trail kk,,Dupont,,"1,991 ft",-59 ft,,5
58,,fort nisqually trail gg,,Dupont,,"2,224 ft",-3 ft,8 ft,5
59,,mcleod marsh nn,,Dupont,,"1,709 ft",-4 ft,24 ft,5
60,,state farm powerline cc,,Dupont,,1 mile,-3 ft,34 ft,5
61,,bell hill south ll,,Dupont,,"2,467 ft",-13 ft,5 ft,5
62,,north bell hill mm,,Dupont,,"2,041 ft",,6 ft,5
63,,warf,,Battle Ground Lake State Park,,702 ft,-66 ft,,5
64,,new forestry loop,,Pack Forest,,"3,599 ft",,446 ft,5
65,,beech ave  trail,,Farrell's Marsh,,299 ft,-2 ft,,5
66,,short st  trail,,Farrell's Marsh,,482 ft,-9 ft,,5
67,,farrell oak trail,,Farrell's Marsh,,886 ft,-5 ft,,5
68,,domerie peak trail  1308,,Kachess Ridge,,10 miles,"-3,198 ft","2,073 ft",5
69,,conifer connector,,Trustland Trails Park,,659 ft,-3 ft,11 ft,5
70,,tranquility loop,,Trustland Trails Park,,"1,145 ft",-7 ft,6 ft,5
71,,alder alley,,Trustland Trails Park,,"1,161 ft",,10 ft,5
72,,friends trail,,Cama Beach State Park,,518 ft,,6 ft,5
73,,forest loop,,Camano Ridge,,1 mile,-77 ft,59 ft,5
74,,powerline,,Colville Mountain,,1 mile,-237 ft,273 ft,5
75,,dragonfly glades,,Trillium Community Forest,,1 mile,-138 ft,61 ft,5
76,,happy trails,,Trillium Community Forest,,"2,080 ft",,104 ft,5
77,,burkholder trail,,Trillium Community Forest,,"2,697 ft",-14 ft,4 ft,5
78,,crossroads trail,,Trillium Community Forest,,2 miles,-124 ft,98 ft,5
79,,ballpark trail,,Rhododendron Park,,659 ft,,,5
80,,loop trail,,Rhododendron Park,,951 ft,,,5
81,,boundary trail,,Rhododendron Park,,"3,783 ft",-5 ft,,5
82,,campground trail,,Rhododendron Park,,"2,205 ft",-2 ft,,5
83,,grandpa s legacy,,Rhododendron Park,,"5,174 ft",-13 ft,,5
84,,timber road trail,,Rhododendron Park,,656 ft,,,5
85,,north shoreline,,Seahurst Park,,545 ft,-5 ft,,5
86,,south nature trail,,Seahurst Park,,"3,701 ft",-79 ft,193 ft,5
87,,lookout loop,,Washington Park Arboretum,,1 mile,-78 ft,82 ft,5
88,,frost creek  1347 1,,Taneum Canyon,,2 miles,,942 ft,5
89,,summit 4w694,,Little Naches,,5 miles,-824 ft,220 ft,5
90,,doe falls trail  1174,,410 / Mount Rainier North,,"1,388 ft",,39 ft,5
91,,foot trail  west ,,Dungeness Recreation Area,,"2,559 ft",-6 ft,28 ft,5
92,,trail,,Dungeness Recreation Area,,"1,224 ft",,,5
93,,legos  942,,Little Naches,,7 miles,"-1,840 ft","1,251 ft",5
94,,trail,,Dungeness Recreation Area,,797 ft,,8 ft,5
95,,bone lake  1172 1,,Greenwater,,1 mile,-89 ft,241 ft,5
96,,m u s t  trail,,Gold Hill Community Forest,,"4,587 ft",-476 ft,,5
97,,pond loop inc road to ridge trail,,Gold Hill Community Forest,,"1,706 ft",-48 ft,30 ft,5
98,,ridge trail,,Gold Hill Community Forest,,"1,850 ft",-50 ft,32 ft,5
99,,colquhoun peak  1195,,410 / Mount Rainier North,,"5,161 ft",,738 ft,5
0,,lost creek  964,,Little Bald Mountain,,3 miles,"-1,430 ft",79 ft,5
1,,westwood,,South Hill Area,,1 mile,-2 ft,277 ft,5
2,,sunrise lake trail  417 2,,Angels Staircase / Uno Peak,,1 mile,-382 ft,900 ft,5
3,,robber creek 271b,,Dark Divide,,"4,347 ft",-172 ft,24 ft,5
4,,stabler camp  17,,Dark Divide,,3 miles,-988 ft,178 ft,5
5,,grass mtn  1170,,Greenwater,,4 miles,-651 ft,363 ft,5
6,,langille ridge  259,,Dark Divide,,10 miles,"-2,815 ft","4,722 ft",5
7,,north trail to dormitory,,Fort Steilacoom Park,,"1,083 ft",,43 ft,5
8,,mesa ventoso,,Wallula Scablands,,"4,026 ft",-51 ft,254 ft,5
9,,4x4 trail,,Sadie Creek,,"2,087 ft",-93 ft,175 ft,5
10,,bumpy loop,,Dry Hill,,,,,5
11,,drop zone,,Dry Hill,,,,,5
12,,heckly   jeckyl,,Dry Hill,,,,,5
13,,hill climb,,Zoo Loop,,,,,5
14,,log couch,,Zoo Loop,,,,,5
15,,old man trail,,Zoo Loop,,,,,5
16,,pinky,,Zoo Loop,,,,,5
17,,pit loop,,Zoo Loop,,,,,5
18,,prudential hill climb,,Zoo Loop,,,,,5
19,,prudential rock,,Zoo Loop,,,,,5
20,,prudential,,Zoo Loop,,,,,5
21,,quadzilla,,Zoo Loop,,,,,5
22,,rock ridge,,Zoo Loop,,,,,5
23,,rooty,,Zoo Loop,,,,,5
24,, round the outside,,Zoo Loop,,,,,5
25,,rutty,,Zoo Loop,,,,,5
26,,scarface,,Zoo Loop,,,,,5
27,,shaggy,,Dry Hill,,,,,5
28,,step down,,Dry Hill,,,,,5
29,,step up,,Zoo Loop,,,,,5
30,,the hallows,,Dry Hill,,,,,5
31,,the overlook,,Dry Hill,,,,,5
32,,tiny dancer,,Dry Hill,,,,,5
33,,trials,,Zoo Loop,,,,,5
34,,up and down,,Dry Hill,,,,,5
35,,where eagles dare,,Dry Hill,,,,,5
36,,prudential downhill,,Dry Hill,,,,,5
37,,pinky,,Dry Hill,,"1,608 ft",-3 ft,164 ft,5
38,,in your face,,Dry Hill,,"3,383 ft",-398 ft,62 ft,5
39,,all day long,,Dry Hill,,"4,341 ft",,481 ft,5
40,,tavern on the green,,Dry Hill,,"1,224 ft",-71 ft,92 ft,5
41,,rocky top,,Dry Hill,,"1,470 ft",-80 ft,33 ft,5
42,,crosstown traffic,,Dry Hill,,"2,028 ft",,246 ft,5
43,,bear meadow,,Dry Hill,,"2,992 ft",,286 ft,5
44,,sideline,,Dry Hill,,"1,299 ft",,130 ft,5
45,,bumpy loop,,Dry Hill,,"1,270 ft",-17 ft,32 ft,5
46,,hill climb,,Dry Hill,,"1,230 ft",,221 ft,5
47,,slip   slide,,Dry Hill,,"1,880 ft",-124 ft,6 ft,5
48,,drop zone,,Dry Hill,,"2,034 ft",-145 ft,25 ft,5
49,,foggy dew ridge  438,,Twisp,,6 miles,"-4,111 ft",433 ft,5
50,,up to cady,,Friday Harbor,,"5,171 ft",-10 ft,385 ft,5
51,,subduction trail,,Friday Harbor,,"2,480 ft",-230 ft,5 ft,5
52,,one day spur,,Cowichie Canyon Recreation Area,,180 ft,,,5
53,,tieton andesite lower,,Cowichie Canyon Recreation Area,,886 ft,-47 ft,,5
54,,fenceline trail,,Cowichie Canyon Recreation Area,,"1,299 ft",-26 ft,,5
55,,connector,,Cowichie Canyon Recreation Area,,135 ft,,,5
56,,colonel barnhill,,Cowichie Canyon Recreation Area,,"3,855 ft",-44 ft,40 ft,5
57,,cliff path,,Cowichie Canyon Recreation Area,,"1,644 ft",,103 ft,5
58,,tiger ridge,,Walla Walla,,1 mile,-567 ft,91 ft,5
59,,middle point ridge  fs trail 3116   3116,,Dayton,,6 miles,-647 ft,"2,608 ft",5
60,,fairgrounds field,,Whipple Creek Park,,"1,342 ft",,52 ft,5
61,,11th avenue access,,Whipple Creek Park,,541 ft,,,5
62,,table rock lookout road  fs rd 475   475,,Walla Walla,,"2,772 ft",-192 ft,,5
63,,kendall skyline rd    table rock section  6400,,Walla Walla,,13 miles,"-1,107 ft","1,431 ft",5
64,,intake trail  3211,,Walla Walla,,6 miles,"-2,207 ft","1,107 ft",5
65,,tucannon rim,,Dayton,,4 miles,"-1,120 ft",38 ft,5
66,,cummings creek rd ,,Dayton,,7 miles,-3 ft,"1,300 ft",5
67,,buckdown,,Tolt MacDonald Park,,"3,260 ft",-295 ft,43 ft,5
68,,roche harbor road trail,,Roche Harbour,,"2,185 ft",-110 ft,169 ft,5
69,,forest glen loop,,Roche Harbour,,2 miles,-156 ft,194 ft,5
70,,sand spit,,Moses Lake,,2 miles,-86 ft,69 ft,5
71,,carlson,,Teanaway Community Forest,,"3,742 ft",-547 ft,40 ft,5
72,,prince creek,,Twisp,,"2,671 ft",-383 ft,,5
73,,tcf singletrack,,Teanaway Community Forest,,"5,141 ft",-294 ft,109 ft,5
74,,sunitsch ridge,,Leavenworth,,1 mile,-320 ft,428 ft,5
75,,east ridge high,,Leavenworth,,1 mile,-141 ft,777 ft,5
76,,meadowman,,Wenatchee,,"3,138 ft",-155 ft,240 ft,5
77,,middle spromberg,,Leavenworth,,"1,805 ft",-381 ft,,5
78,,its a gully,,Mad River - Entiat,,"2,080 ft",,274 ft,5
79,,donkey,,Cooper Ranch,,2 miles,"-1,429 ft",678 ft,5
80,,the plunge,,Tolt MacDonald Park,,"1,305 ft",-394 ft,10 ft,5
81,,church camp,,410 / Mount Rainier North,,"4,701 ft",-257 ft,,5
82,,in out trail,,Shelton,,2 miles,-196 ft,149 ft,5
83,,lions trail,,Frater Lake,,3 miles,-429 ft,429 ft,5
84,,south kettle crest trail   white mountain,,South Kettle Crest,,6 miles,"-2,203 ft","1,311 ft",5
85,,north elk creek trail,,Mill Pond,,1 mile,-275 ft,597 ft,5
86,,ferry county rail trail,,Ferry County Rail Trail,,"4,855 ft",-5 ft,10 ft,5
87,,ferry county rail trail,,Ferry County Rail Trail,,3 miles,-18 ft,4 ft,5
88,,ferry county rail trail,,Ferry County Rail Trail,,3 miles,-25 ft,15 ft,5
89,,ferry county rail trail,,Ferry County Rail Trail,,3 miles,-73 ft,57 ft,5
90,,ferry county rail trail,,Ferry County Rail Trail,,3 miles,-60 ft,,5
91,,snow peak trail,,South Kettle Crest,,3 miles,-312 ft,"1,389 ft",5
92,,swan lake trail  14,,Swan Lake,,2 miles,-97 ft,88 ft,5
93,,springboard trail  149,,Springboard Trail,,1 mile,-33 ft,,5
94,,greenwood lake trail  253,,Osborne Mountain,,3 miles,"-1,241 ft",984 ft,5
95,,au natural,,West Shelton,,1 mile,-134 ft,60 ft,5
96,,clark creek trail,,Radar Dome/Clark Creek,,2 miles,-953 ft,182 ft,5
97,,columbia,,North Bonneville,,"3,326 ft",-18 ft,12 ft,5
98,,greenleaf,,North Bonneville,,"3,455 ft",-20 ft,25 ft,5
99,,marble loop,,Mt. St. Helens National Volcanic Monument,,1 mile,-133 ft,107 ft,5
0,,new trail,,State Patrol Trails,,"3,652 ft",-238 ft,3 ft,5
1,,swan lake trail,,Swan Lake,,1 mile,-304 ft,306 ft,5
2,,b wick,,Silver Firs Trails,,837 ft,,23 ft,5
3,,basalt ridge trail,,Mad River - Entiat,,8 miles,"-5,923 ft","1,023 ft",5
4,,naneum wilson trail 1371,,Table Mountain,,6 miles,"-1,243 ft","1,132 ft",5
5,,grass camp trail  1219,,Table Mountain,,4 miles,-962 ft,936 ft,5
6,,duck dive,,Snohomish,,"1,516 ft",-78 ft,165 ft,5
7,,drop creek trail 1371 1,,Table Mountain,,"4,978 ft",-699 ft,,5
8,,sage wilderness trail,,Wenatchee,,2 miles,"-1,796 ft",66 ft,5
9,,mule deer,,Wenatchee,,"1,803 ft",-215 ft,18 ft,5
10,,rematch,,Thornton A Sullivan Park,,"1,472 ft",-66 ft,56 ft,5
11,,the tie in,,West Shelton,,1 mile,-115 ft,138 ft,5
12,,unknown trail,,Teanaway Community Forest,,"2,714 ft",-335 ft,6 ft,5
13,,singletrack,,Tieton River Trail,,"1,731 ft",-12 ft,2 ft,5
14,,strawberry mountain,,Mt Bonaparte,,1 mile,,871 ft,5
15,,antoine loop,,Tonasket,,4 miles,-715 ft,393 ft,5
16,,mad river  lower   1409,,Mad River - Entiat,,9 miles,"-1,844 ft",422 ft,5
17,,carter mountain,,Carter Mountain,,3 miles,-601 ft,127 ft,5
18,,primitive path,,#2 Canyon,,"4,875 ft",-645 ft,,5
19,,buck creek   timberhead middle,,Monte Cristo / Nestor Peak,,"2,467 ft",-246 ft,,5
20,,bluebird canyon wild horse,,Wild Horse Wind Facility,,"4,393 ft",-310 ft,,5
21,,run like the wind,,Wild Horse Wind Facility,,"4,833 ft",-671 ft,,5
22,,ridgeline solar,,Wild Horse Wind Facility,,2 miles,-17 ft,305 ft,5
23,,meadow creek trail  fs trail 3123   3123,,Walla Walla,,2 miles,-343 ft,369 ft,5
24,,lower skate creek,,Packwood,,"2,077 ft",-22 ft,,5
25,,creekside,,Fairweather Bike Park,,344 ft,,26 ft,5
26,,1 9 mile trail,,Tahuya State Forest,,2 miles,-95 ft,96 ft,5
27,,cheating equestrian,,WSU Vancouver,,125 ft,,,5
28,,tessa s,,Port Gamble Forest Heritage Park,,"1,860 ft",-206 ft,,5
